1,"CNN - Breaking News, Latest News and Videos",https://i3.feedspot.com/117.jpg,us.cnn.com,"About Blog - CNN.com delivers up-to-the-minute news and information on the latest top stories, weather, entertainment, politics and more.Frequency - about 15 posts per week","27,276,684","33,359,967",102,
2,The New York Times,https://i1.feedspot.com/9470.jpg?t=1515751578,nytimes.com,New York City,"15,195,747","40,813,041",109,"About Blog - The New York Times provides breaking news, multimedia, reviews & opinion on Washington, business, sports, movies, travel, books, jobs, education, real estate, cars & more.Frequency - about 42 posts per week"
3,The Huffington Post,https://i2.feedspot.com/1215.jpg,huffingtonpost.com,"About Blog - The destination for news, blogs and original content offering coverage of US politics, entertainment, style, world news, technology and comedy by Huffington Post.Frequency - about 168 posts per week","9,306,376","9,802,796",199,
4,Fox News,https://i1.feedspot.com/118508.jpg,foxnews.com,U.S.A.,"15,375,230","14,056,045",255,"About Blog - Fox News provides breaking news and videos on latest current news, U.S., World, Entertainment, Health, Business, Technology, Politics and Sports.Frequency - about 168 posts per week"
5,USA TODAY,https://i1.feedspot.com/667240.jpg,usatoday.com,"USA TODAY HQ, McLean, Va.","15,077,985","3,272,717",495,"About Blog - USA TODAY delivers current local and national news, sports, entertainment, finance, technology, and more through award-winning journalism, photos, videos and VR.Frequency - about 168 posts per week"
6,Reuters,https://i3.feedspot.com/30966.jpg,reuters.com,"About Blog - Reuters.com brings you the latest news from around the world, covering breaking news in markets, business, politics, entertainment, technology, video and pictures.Frequency - about 168 posts per week","3,730,672","17,352,346",510,
7,POLITICO,https://i3.feedspot.com/150897.jpg?t=1503041998,politico.com,"Washington, D.C.","1,697,168","3,330,418",821,"About Blog - POLITICO launched in January 2007 with the mission of covering the politics of Capitol Hill, the presidential campaign, and the business of Washington lobbying and advocacy with enterprise, style, and impact. Political news about Congress, the White House, campaigns, lobbyists and issues.Frequency - about 168 posts per week"
8,Yahoo News - Latest News & Headlines,https://i2.feedspot.com/4633676.jpeg,yahoo.com/news,New York City,"7,477,139","1,123,642",6,About Blog - The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.Frequency - about 168 posts per week
9,NPR News,https://i2.feedspot.com/20253.jpg,npr.org,"Washington, DC","5,930,688","6,888,064",625,"About Blog - NPR delivers breaking national and world news. Also top stories from business, politics, health, science, technology, music, arts and culture.Frequency - about 168 posts per week"
10,Los Angeles Times,https://i1.feedspot.com/2253987.jpg,latimes.com,"Los Angeles, CA","2,663,041","2,782,709",817,"About Blog - The LA Times is a leading source of breaking news, entertainment, sports, politics, and more for Southern California and the world. They strive to be the definitive news source for Californians, an essential part of the national news dialogue, and the voice of Los Angeles around the world.Frequency - about 56 posts per week"
11,NBC News,https://i2.feedspot.com/370715.jpg,nbcnews.com,"New York, NY","9,136,137","4,603,918",830,"About Blog - NBC News is a leading source of global news and information for more than 75 years. Go to NBCNews.com for breaking news, videos, and the latest top stories in world news, business, politics, health and pop culture.Frequency - about 168 posts per week"
12,CBS News,https://i1.feedspot.com/113012.jpg,cbsnews.com,"New York, NY","4,241,197","5,678,266",923,About Blog - CBS News is dedicated to providing the best in journalism under standards it pioneered at the dawn of radio and television and continue in the digital age.Frequency - about 2 posts per month
13,New York Post,https://i3.feedspot.com/3294268.jpg?t=1510560004,nypost.com,"New York, NY","4,115,628","1,349,625",711,"About Blog - New York Post is your source for breaking news, news about New York, sports, business, entertainment, opinion, real estate, culture, fashion, and more.Frequency - about 168 posts per week"
14,ABC News,https://i3.feedspot.com/8678.jpg,abcnews.go.com,New York City,"11,269,388","44,298","1,034","About Blog - ABC News is your trusted source for breaking news, analysis, exclusive interviews, headlines, and videos. They are updated around the clock with breaking news, top stories, videos, photos, special reports and exclusive interviews.Frequency - about 168 posts per week"
15,New York Daily News,https://i2.feedspot.com/363915.jpg?t=1510385416,nydailynews.com,New York City,"2,772,447","628,233","1,136","About Blog - Find breaking US news, local New York news coverage, sports, entertainment news, celebrity gossip, autos, videos and photos at nydailynews.com.Frequency - about 168 posts per week"
16,Breitbart News Network,https://i1.feedspot.com/4210776.jpg?t=1503317697,breitbart.com,About Blog - Breitbart News is a conservative news and opinion website founded by the late Andrew Breitbart. Breitbart News Network is a syndicated news and opinion website providing continuously updated headlines to top news and analysis sources.Frequency - about 168 posts per week,"3,579,111","792,922",300,
17,The Denver Post,https://i2.feedspot.com/4440191.jpg,denverpost.com,"Denver, CO","411,040","353,257","1,569","About Blog - The Denver Post provides you with the most relevant, current news and information about Denver, Colorado and the Rocky Mountain West on any platform you choose, any time you want. The Denver Post reaches roughly 6 million unique visitors per month and provides news about local and state government, neighborhoods, cities, businesses and people in Denver and the state of Colorado.Frequency - about 168 posts per week"
18,CBS New York,https://i1.feedspot.com/2362.jpg?t=1510386929,newyork.cbslocal.com,New York City,"881,619","131,935","1,738","About Blog - CBS New York offers Local News, Sports, Traffic, Weather, and the Best Of New York.Frequency - about 168 posts per week"
19,CBS Los Angeles,https://i1.feedspot.com/936052.jpg?t=1515571894,losangeles.cbslocal.com,Los Angeles,"702,561","170,989","2,048","About Blog - CBS Los Angeles provides news, Sports, Weather, Traffic and the Best of LA/OC.Frequency - about 84 posts per week"
20,CBS Chicago,https://i1.feedspot.com/2575.jpg,chicago.cbslocal.com,Chicago,"204,085","130,486","1,675","About Blog - CBS Chicago is comprised of Chicago's biggest media brands in News, Sports, and Entertainment. CBS Chicago offers the latest news, weather & sports for all of Chicagoland.Frequency - about 84 posts per week"
